time,can_rx_timeout,can_rx_timeout_code,vcu_status,vcu_error_code,rear_sensor_status,rear_sensor_error_code,bms_error_code,inverter_state,inverter_vsm_state,inverter_post_fault,inverter_run_fault
1697350698.35,"",0,0,0,0,0,0,0,0,0,0
1697350698.45,"Front Box, ",2,0,0,0,0,0,0,0,0,0
1697350698.55,"",0,0,0,0,0,0,4,9,0,0
1697350698.65,"",0,0,0,3,0,0,4,9,0,0
1697350698.75,"",0,0,0,3,0,0,4,9,0,0
1697350698.85,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350698.95,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350699.05,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350699.15,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350699.25,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350699.35,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350699.45,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350699.55,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350699.65,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350699.75,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350699.85,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350699.95,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350700.05,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350700.15,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350700.25,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350700.35,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350700.45,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350700.55,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350700.65,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350700.75,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350700.85,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350700.95,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350701.05,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350701.15,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350701.25,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350701.35,"Rear Box, Inverter, ",1152,0,0,3,0,0,4,9,0,0
1697350701.45,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350701.55,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350701.65,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
1697350701.75,"Rear Box, ",128,0,0,3,0,0,4,9,0,0
