time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1697353236.45,-0.17,0.41,0.86,-0.4,3.3,50.7,0.96,0.03,-0.04,-0.27
1697353236.46,-0.09,0.43,0.89,-0.4,3.1,51.2,0.96,0.03,-0.04,-0.26
1697353236.47,-0.15,0.41,0.94,-0.7,3.2,51.5,0.97,0.03,-0.04,-0.25
1697353236.48,-0.15,0.45,0.95,-0.7,3.1,51.9,0.97,0.03,-0.04,-0.25
1697353236.49,-0.1,0.46,0.91,-0.6,2.8,52.4,0.97,0.03,-0.04,-0.25
1697353236.5,-0.13,0.45,0.85,-0.7,2.6,52.9,0.97,0.03,-0.04,-0.24
1697353236.51,-0.19,0.45,1,-0.7,2.6,52.9,0.97,0.03,-0.04,-0.24
1697353236.52,-0.17,0.46,0.88,-2,2.5,54,0.97,0.03,-0.04,-0.23
1697353236.53,-0.18,0.58,0.88,-2,2.5,54,0.97,0.03,-0.04,-0.23
1697353236.54,-0.17,0.58,0.89,-0.5,3.1,55.4,0.97,0.03,-0.04,-0.22
1697353236.55,-0.18,0.52,0.96,1.2,3.3,56,0.97,0.03,-0.04,-0.22
1697353236.56,-0.18,0.47,0.98,2,3.5,56.2,0.98,0.03,-0.04,-0.21
1697353236.57,-0.17,0.37,1.05,2,3.5,56.2,0.98,0.03,-0.04,-0.21
1697353236.58,-0.15,0.43,0.8,-0.7,3.5,56.7,0.98,0.03,-0.04,-0.2
1697353236.59,-0.21,0.48,1,-0.7,3.5,56.7,0.98,0.03,-0.04,-0.2
1697353236.6,-0.23,0.47,1.11,-2,3.6,57.5,0.98,0.03,-0.04,-0.19
1697353236.61,-0.16,0.49,0.87,-2,3.6,57.5,0.98,0.03,-0.04,-0.19
1697353236.62,-0.19,0.42,1.02,-1,3.6,57.3,0.98,0.03,-0.04,-0.18
1697353236.63,-0.13,0.29,0.94,0.1,3.9,57.3,0.98,0.03,-0.04,-0.18
