time,torque_command,torque_feedback,motor_speed,dc_bus_voltage,dc_bus_current,control_board_temperature,hot_spot_temperature,motor_temperature
1697353924.45,0,0,958,271,0,39.8,35.5,40.6
1697353924.46,0,0,957,271,0,39.8,35.5,40.6
1697353924.47,0,0,948,271,0,39.8,35.5,40.6
1697353924.48,0,0,948,271.1,0,39.8,35.5,40.6
1697353924.49,0,0,941,271,0,39.8,35.5,40.6
1697353924.5,0,0,937,271,0,39.8,35.5,40.6
1697353924.51,0,0,937,271,0,39.8,35.5,40.6
1697353924.52,0,0,937,271,0,39.8,35.5,40.6
1697353924.53,0,0,937,271,0,39.8,35.5,40.6
1697353924.54,0,0,937,271,0,39.8,35.5,40.6
1697353924.55,0,0,937,271,0,39.8,35.5,40.6
1697353924.56,0,0,937,271,0,39.8,35.5,40.6
1697353924.57,0,0,937,271,0,39.8,35.5,40.6
1697353924.58,0,0,937,271,0,39.8,35.5,40.6
1697353924.59,0,0,937,271,0,39.8,35.5,40.6
1697353924.6,0,0,937,271,0,39.8,35.5,40.6
1697353924.61,0,0,937,271,0,39.8,35.5,40.6
1697353924.62,0,0,937,271,0,39.8,35.5,40.6
1697353924.63,0,0,885,271.1,0,39.9,35.5,40.6
1697353924.64,0,0,885,271.1,0,39.9,35.5,41
1697353924.65,0,0,892,271,0,39.9,35.5,41
1697353924.66,0,0,884,271,0,39.9,35.5,41
1697353924.67,0,0,877,271,0,39.9,35.5,41
1697353924.68,0,0,886,271.1,0,39.9,35.5,41
1697353924.69,0,0,877,271.1,0,39.9,35.5,41
1697353924.7,0,0,867,271.1,0,39.9,35.5,41
1697353924.71,0,0,871,271,0,39.9,35.5,41
1697353924.72,0,0,875,271,0,39.9,35.5,41
1697353924.73,0,0,867,271,0,39.9,35.5,41
1697353924.74,0,0,866,271.1,0,39.8,35.5,41
1697353924.75,0,0,870,271.2,0,39.8,35.5,40.6
1697353924.76,0,0,862,271,0,39.9,35.5,40.6
1697353924.77,0,0,852,271,0,39.9,35.5,40.6
1697353924.78,2.4,0.3,857,271,0.5,39.9,35.5,40.6
1697353924.79,3.7,0.7,866,270.9,0.5,39.9,35.5,40.6
1697353924.8,3.7,1.3,864,270.9,1.5,39.9,35.5,40.6
1697353924.81,7.7,2.4,864,270.5,1.5,39.9,35.5,40.6
1697353924.82,10,3.6,891,270.4,1.5,39.9,35.5,40.6
1697353924.83,12.6,5.4,902,270.4,4.3,39.9,35.5,40.6
1697353924.84,14.9,7.1,918,270.1,4.3,39.9,35.5,40.7
1697353924.85,17.2,9,951,269.7,7.1,39.9,35.5,40.7
1697353924.86,19.4,11.6,997,269.5,7.1,39.9,35.5,40.7
1697353924.87,19.4,13,1016,269.5,10,39.9,35.5,40.7
1697353924.88,22.8,15.9,1077,269.2,10,39.9,35.5,40.7
1697353924.89,23.8,18.6,1119,268.7,13.3,39.9,35.5,40.7
1697353924.9,24.5,20.6,1123,268.7,13.3,39.9,35.5,40.7
1697353924.91,24.5,22.4,1084,269,14.7,39.8,35.5,40.7
1697353924.92,24.9,24,977,269.1,14.7,39.8,35.5,40.7
1697353924.93,25.2,25.7,801,269.3,11,39.9,35.5,40.7
1697353924.94,25.7,26.8,714,269.5,11,39.9,35.5,40.7
1697353924.95,25.7,27.7,672,269.6,8.9,39.9,35.5,40.6
1697353924.96,26.6,28.7,675,269.4,8.9,39.9,35.5,40.6
1697353924.97,26.6,29.2,702,269.4,9.8,39.9,35.5,40.6
1697353924.98,28.2,30.4,805,269.2,9.8,39.9,35.5,40.6
1697353924.99,28.2,30.6,826,269,11.8,39.8,35.5,40.6
1697353925,30.3,31.7,917,268.6,11.8,39.8,35.5,40.6
1697353925.01,30.3,32.4,973,268.7,14.1,39.8,35.5,40.6
1697353925.02,31.6,33.2,1018,268.5,14.1,39.8,35.5,40.6
1697353925.03,31.6,33.2,1018,268.5,14.1,39.8,35.5,40.6
1697353925.04,31.6,33.2,1018,268.5,14.1,39.8,35.5,40.6
1697353925.05,31.6,33.2,1018,268.5,14.1,39.8,35.5,40.6
1697353925.06,31.6,33.2,1018,268.5,14.1,39.8,35.5,40.6
1697353925.07,31.6,33.2,1018,268.5,14.1,39.8,35.5,40.6
1697353925.08,31.6,33.2,1018,268.5,14.1,39.8,35.5,40.6
1697353925.09,31.6,33.2,1018,268.5,14.1,39.8,35.5,40.6
1697353925.1,31.6,33.2,1018,268.5,14.1,39.8,35.5,40.6
1697353925.11,31.6,33.2,1018,268.5,14.1,39.8,35.5,40.6
1697353925.12,31.6,33.2,1018,268.5,14.1,39.8,35.5,40.6
1697353925.13,31.6,33.2,1018,268.5,14.1,39.8,35.5,40.6
1697353925.14,31.6,33.2,1018,268.5,14.1,39.8,35.5,40.6
1697353925.15,35.4,40,763,268.7,14.1,39.8,35.5,40.6
1697353925.16,34.9,39.5,776,268.8,10.7,39.9,35.5,40
1697353925.17,33.6,38.7,812,268.9,10.7,39.9,35.5,40
1697353925.18,33.1,38.2,852,268.9,10.9,39.9,35.5,40
1697353925.19,32.5,37.3,906,268.7,10.9,39.9,35.5,40
1697353925.2,31.8,36.6,918,268.8,10.7,39.9,35.5,40
1697353925.21,31.6,35.9,912,268.9,10.7,39.9,35.5,40
1697353925.22,31.6,35.2,905,269,9.7,39.8,35.5,40
1697353925.23,30.9,34.2,863,269.1,9.7,39.8,35.5,40
1697353925.24,30.8,33.5,823,269.3,8.1,39.8,35.5,40
1697353925.25,31,32.7,801,269.2,8.1,39.8,35.4,40.3
1697353925.26,31.1,32.2,798,269.2,7.8,39.8,35.4,40.3
1697353925.27,31.5,31.8,802,269.2,7.8,39.8,35.4,40.3
1697353925.28,31.8,31.4,822,269.2,7.8,39.8,35.4,40.3
1697353925.29,32.3,31.2,854,269.1,8.5,39.8,35.4,40.3
1697353925.3,32.5,31.2,882,269,8.5,39.8,35.4,40.3
1697353925.31,32.7,31.2,893,269,9.6,39.8,35.4,40.3
1697353925.32,33,31.3,902,269.1,9.6,39.8,35.4,40.3
1697353925.33,33,31.4,901,269.1,10,39.8,35.4,40.3
1697353925.34,33.1,31.6,870,268.9,10,39.8,35.4,40.3
1697353925.35,33.1,31.7,841,269,9.5,39.8,35.4,40.4
1697353925.36,33.2,31.9,830,269,9.5,39.8,35.4,40.4
1697353925.37,33.2,32,815,269.1,9.2,39.8,35.4,40.4
1697353925.38,33.4,32.2,803,269.1,9.2,39.8,35.4,40.4
1697353925.39,33.4,32.3,809,269,9.7,39.8,35.4,40.4
1697353925.4,33.6,32.6,852,269,9.7,39.8,35.4,40.4
1697353925.41,33.7,32.7,869,268.9,10.5,39.7,35.4,40.4
1697353925.42,33.8,32.9,880,268.9,10.5,39.7,35.4,40.4
1697353925.43,33.8,33.1,892,268.9,10.8,39.8,35.4,40.4
1697353925.44,33.9,33.3,887,268.7,10.8,39.8,35.4,40.4
1697353925.45,33.9,33.5,867,268.8,10.6,39.9,35.4,40.4
1697353925.46,33.9,33.6,853,268.7,10.6,39.9,35.4,40
1697353925.47,34,33.7,849,268.9,10.6,39.9,35.4,40
1697353925.48,34.3,33.9,836,269,10.2,40,35.4,40
1697353925.49,34.4,34.1,831,268.9,10.2,40,35.4,40
1697353925.5,34.5,34.2,845,268.7,10.4,40,35.4,40
1697353925.51,34.6,34.3,863,268.9,10.4,40,35.4,40
1697353925.52,34.6,34.5,868,268.8,10.9,40,35.4,40
1697353925.53,35,34.7,883,268.8,10.9,40,35.4,40
1697353925.54,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.55,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.56,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.57,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.58,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.59,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.6,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.61,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.62,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.63,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.64,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.65,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.66,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.67,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.68,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.69,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.7,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.71,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.72,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.73,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.74,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.75,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.76,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.77,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.78,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.79,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.8,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.81,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.82,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.83,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.84,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.85,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.86,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.87,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.88,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.89,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.9,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.91,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.92,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.93,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.94,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.95,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.96,35,34.8,891,268.9,11.3,40,35.4,40
1697353925.97,39.5,39.1,907,268.3,11.3,40,35.4,40.4
1697353925.98,39.5,39.2,918,268.4,12.9,39.8,35.4,40.4
1697353925.99,40.2,39.3,916,268.5,12.9,39.8,35.4,40.4
1697353926,40.8,39.6,898,268.3,13.2,39.8,35.4,40.4
1697353926.01,40.8,39.7,894,268.4,13.2,39.8,35.4,40.4
1697353926.02,42.2,40.2,902,268.3,13.6,39.8,35.4,40.4
1697353926.03,42.8,40.8,898,268.2,13.6,39.8,35.4,40.4
1697353926.04,42.8,41,898,268.1,14.4,39.8,35.4,40.4
1697353926.05,44.2,41.8,915,268.2,14.4,39.8,35.4,40.4
1697353926.06,44.2,42.4,920,268,15.7,39.8,35.4,40.4
1697353926.07,44.9,43,918,267.7,15.7,39.8,35.4,40.6
1697353926.08,45.8,43.8,932,267.9,16.5,39.8,35.4,40.6
1697353926.09,45.8,44.4,938,267.8,16.5,39.8,35.4,40.6
1697353926.1,46.2,45,926,267.7,16.9,39.8,35.4,40.6
1697353926.11,46.3,45.7,916,267.7,16.9,39.8,35.4,40.6
