time,bse,apps1,apps2,brake_micro,accelerator_micro,steer_angle,front_break_pressure,rear_break_pressure,front_left_wheel_speed,front_right_wheel_speed,rear_left_wheel_speed,rear_right_wheel_speed,front_left_suspension_travel,front_right_suspension_travel,rear_left_suspension_travel,rear_right_suspension_travel,front_left_tire_temp_1,front_left_tire_temp_2,front_left_tire_temp_3,front_left_tire_temp_4,front_right_tire_temp_1,front_right_tire_temp_2,front_right_tire_temp_3,front_right_tire_temp_4,rear_left_tire_temp_1,rear_left_tire_temp_2,rear_left_tire_temp_3,rear_left_tire_temp_4,rear_right_tire_temp_1,rear_right_tire_temp_2,rear_right_tire_temp_3,rear_right_tire_temp_4
1697354499.25,0.06,0.25,0.25,0,0,66,0.9,0.9,0,196.1,335,119.3,44.6,46.1,43.5,42.2,36.4,30.2,30,33,36.4,35.2,37,37.8,30,30,30,30,30,30,30,30
1697354499.35,0.06,0.25,0.25,0,0,66,0.9,0.9,0,196.1,335,119.3,44.6,46.1,43.5,42.2,36.4,30.2,30,33,36.4,35.2,37,37.8,30,30,30,30,30,30,30,30
1697354499.45,0.06,0.25,0.25,0,0,66,0.9,0.9,0,196.1,335,119.3,44.6,46.1,43.5,42.2,36.4,30.2,30,33,36.4,35.2,37,37.8,30,30,30,30,30,30,30,30
1697354499.55,0.07,0.27,0.28,0,0,66,0.6,0.6,0,119.7,2972,113.3,44.6,47,43.4,42.2,37,30.2,30,33.6,36.2,35,36.8,37.4,30,30,30,30,30,30,30,30
1697354499.65,0.07,0.28,0.28,0,1,66,1.5,1.5,0,118,2972,113.3,44.5,46.2,43.4,42.2,37,30.2,30,33.6,36.2,35,36.8,37.4,30,30,30,30,30,30,30,30
1697354499.75,0.07,0.3,0.3,0,1,66,1.8,1.8,0,117.2,365.9,110.2,44.7,46.2,43.4,42.2,37.4,30.6,30,33.6,35.8,34.8,36.4,37.4,30,30,30,30,30,30,30,30
1697354499.85,0.07,0.3,0.3,0,1,66,1.8,1.8,0,117.2,2379.6,108.3,44.7,46.2,43.4,42.2,37.4,30.6,30,33.6,35.8,34.8,36.4,37.4,30,30,30,30,30,30,30,30
1697354499.95,0.07,0.3,0.3,0,1,66,1.8,1.8,0,117.2,2379.6,108.3,44.7,46.2,43.4,42.2,37.4,30.6,30,33.6,35.8,34.8,36.4,37.4,30,30,30,30,30,30,30,30
1697354500.05,0.07,0.3,0.3,0,1,66,1.8,1.8,0,117.2,2379.6,108.3,44.7,46.2,43.4,42.2,37.4,30.6,30,33.6,35.8,34.8,36.4,37.4,30,30,30,30,30,30,30,30
1697354500.15,0.07,0.33,0.33,0,1,66,0.3,0.3,0,113.3,1637.6,107.6,45,46.5,43.3,42.3,37.4,31.6,30.2,34,35.6,34.8,36.4,37.4,30,30,30,30,30,30,30,30
1697354500.25,0.07,0.33,0.34,0,1,66,1.8,1.8,0,113.1,1177.7,108.3,44.9,46.5,43.5,42.1,37.4,31.6,30.2,34,35.6,34.8,36.4,37.4,30,30,30,30,30,30,30,30
1697354500.35,0.07,0.33,0.33,0,1,66,1.5,1.5,0,114,120.7,107,44.9,46.9,43.4,42.2,37.4,31.6,31,34.4,35.4,34.6,36.2,37.2,30,30,30,30,30,30,30,30
1697354500.45,0.07,0.33,0.33,0,1,66,1.5,1.5,0,114,120.7,107,44.9,46.9,43.4,42.2,37.4,31.6,31,34.4,35.4,34.6,36.2,37.2,30,30,30,30,30,30,30,30
1697354500.55,0.06,0.33,0.33,0,1,66,0.6,0.6,0,113.2,120.7,107,44.6,47.8,43.4,42.2,37.4,31.6,31.4,35,35.2,34.6,36.4,37,30,30,30,30,30,30,30,30
1697354500.65,0.06,0.33,0.33,0,1,66,1.2,1.2,0,114.4,374.6,108,44.5,47.4,43.4,42.2,37.4,31.6,31.4,35,35.2,34.6,36.4,37,30,30,30,30,30,30,30,30
1697354500.75,0.06,0.33,0.33,0,1,66,1.2,1.2,0,114.3,427,108.6,44.4,47.5,43.5,42.2,38,31.8,31.8,36,35,34.4,36.2,36.8,30,30,30,30,30,30,30,30
1697354500.85,0.06,0.33,0.33,0,1,66,0.9,0.9,0,308.6,2166.6,109.5,44.3,47.4,43.3,42.2,38,31.8,31.8,36,35,34.4,36.2,36.8,30,30,30,30,30,30,30,30
1697354500.95,0.06,0.33,0.33,0,1,66,0.9,0.9,0,308.6,2166.6,109.5,44.3,47.4,43.3,42.2,38,31.8,31.8,36,35,34.4,36.2,36.8,30,30,30,30,30,30,30,30
1697354501.05,0.06,0.32,0.33,0,1,66,1.2,1.2,0,116.2,2166.6,109.5,45.3,46.3,43.3,42.2,39.4,33.6,34,39,35.2,34.2,36.2,36.8,30,30,30,30,30,30,30,30
1697354501.15,0.07,0.32,0.33,0,1,66,1.2,1.2,0,117.3,2166.6,109.5,46.1,45.3,43.3,42.2,39.4,33.6,34,39,35.2,34.2,36.2,36.8,30,30,30,30,30,30,30,30
1697354501.25,0.06,0.32,0.33,0,1,66,1.2,1.2,0,117.8,1799.2,111.4,46.8,45.4,43.3,42.3,40,36.2,36,42.2,35,34.2,36.2,36.4,30,30,30,30,30,30,30,30
1697354501.35,0.07,0.32,0.33,0,1,66,1.2,1.2,0,118.4,231.6,113.4,46.7,45.5,43.2,42.3,40,36.2,36,42.2,35,34.2,36.2,36.4,30,30,30,30,30,30,30,30
1697354501.45,0.07,0.32,0.33,0,1,66,1.2,1.2,0,118.4,231.6,113.4,46.7,45.5,43.2,42.3,40,36.2,36,42.2,35,34.2,36.2,36.4,30,30,30,30,30,30,30,30
1697354501.55,0.07,0.32,0.33,0,1,66,1.2,1.2,0,118.4,231.6,113.4,46.7,45.5,43.2,42.3,40,36.2,36,42.2,35,34.2,36.2,36.4,30,30,30,30,30,30,30,30
1697354501.65,0.06,0.33,0.33,0,1,66,1.2,1.2,0,120.5,231.6,113.4,46.5,46,43.2,42.3,38.2,33.4,31.8,37.4,38.6,35.2,36.2,36.4,30,30,30,30,30,30,30,30
1697354501.75,0.07,0.34,0.34,0,1,66,0.9,0.9,0,337.2,338.9,116,46.2,46.3,43.7,42.4,35.4,30,30,31.2,38.4,35.2,36,36.4,30,30,30,30,30,30,30,30
1697354501.85,0.07,0.34,0.35,0,1,66,0.3,0.3,0,123.1,1936.6,117.5,46,46.7,43.3,42.3,35.4,30,30,31.2,38.4,35.2,36,36.4,30,30,30,30,30,30,30,30
1697354501.95,0.07,0.34,0.35,0,1,66,0.3,0.3,0,123.1,1936.6,117.5,46,46.7,43.3,42.3,35.4,30,30,31.2,38.4,35.2,36,36.4,30,30,30,30,30,30,30,30
1697354502.05,0.07,0.34,0.35,0,1,66,0.3,0.3,0,123.1,1936.6,117.5,46,46.7,43.3,42.3,35.4,30,30,31.2,38.4,35.2,36,36.4,30,30,30,30,30,30,30,30
1697354502.15,0.07,0.34,0.35,0,1,66,0.3,0.3,0,123.1,2052.5,122,46,46.7,43.3,42.2,35.4,30,30,31.2,38.4,35.2,36,36.4,30,30,30,30,30,30,30,30
1697354502.25,0.07,0.36,0.36,0,1,66,0.9,0.9,0,127.7,2052.5,122,45.8,47.4,43.3,42.2,34.6,30,30,31.2,34.6,34.2,36.2,36.4,30,30,30,30,30,30,30,30
1697354502.35,0.07,0.36,0.36,0,1,67,1.2,1.2,0,128.8,424.8,123.6,45.8,46.9,43.3,42.2,34.4,30,30,31.6,34.4,34,36.2,36.2,30,30,30,30,30,30,30,30
1697354502.45,0.07,0.36,0.37,0,1,67,0.3,0.3,0,129.7,401.2,124.4,45.7,47.3,43.3,42.3,34.4,30,30,31.6,34.4,34,36.2,36.2,30,30,30,30,30,30,30,30
1697354502.55,0.07,0.36,0.37,0,1,67,0.3,0.3,0,129.7,401.2,124.4,45.7,47.3,43.3,42.3,34.4,30,30,31.6,34.4,34,36.2,36.2,30,30,30,30,30,30,30,30
1697354502.65,0.07,0.36,0.37,0,1,67,0.3,0.3,0,129.7,401.2,124.4,45.7,47.3,43.3,42.3,34.4,30,30,31.6,34.4,34,36.2,36.2,30,30,30,30,30,30,30,30
1697354502.75,0.06,0.36,0.36,0,1,74,1.2,1.2,0,132,1815.9,129,45.4,47.3,43.3,42.2,34.8,30,30,34.6,34.2,34.2,36.4,35.8,30,30,30,30,30,30,30,30
1697354502.85,0.07,0.36,0.36,0,1,86,0.9,0.9,0,130.7,367.8,131.4,45.2,46.9,43.2,42.2,34.8,30,30,34.6,34.2,34.2,36.4,35.8,30,30,30,30,30,30,30,30
1697354502.95,0.06,0.36,0.36,0,1,98,0.9,0.9,0,131.4,835.4,131.1,44.5,47.1,43.2,42.3,34.8,30,30,34.6,34.2,34.2,36.4,35.8,30,30,30,30,30,30,30,30
