time,cpu_temp,cpu_usage,mem_usage,swap_usage,disk_usage
1697352690.75,50.63,0.49,0.32,0,0.41
1697352690.85,50.63,0.49,0.32,0,0.41
1697352690.95,50.63,0.49,0.32,0,0.41
1697352691.05,50.63,0.49,0.32,0,0.41
1697352691.15,50.63,0.49,0.32,0,0.41
1697352691.25,50.63,0.49,0.32,0,0.41
1697352691.35,50.63,0.49,0.32,0,0.41
1697352691.45,49.17,0.47,0.32,0,0.41
1697352691.55,49.17,0.47,0.32,0,0.41
1697352691.65,49.17,0.47,0.32,0,0.41
1697352691.75,49.17,0.47,0.32,0,0.41
1697352691.85,49.17,0.47,0.32,0,0.41
1697352691.95,49.17,0.47,0.32,0,0.41
1697352692.05,49.17,0.47,0.32,0,0.41
1697352692.15,49.17,0.47,0.32,0,0.41
1697352692.25,49.17,0.47,0.32,0,0.41
1697352692.35,49.17,0.47,0.32,0,0.41
1697352692.45,49.17,0.51,0.32,0,0.41
1697352692.55,49.17,0.51,0.32,0,0.41
1697352692.65,49.17,0.51,0.32,0,0.41
1697352692.75,49.17,0.51,0.32,0,0.41
1697352692.85,49.17,0.51,0.32,0,0.41
1697352692.95,49.17,0.51,0.32,0,0.41
1697352693.05,49.17,0.51,0.32,0,0.41
1697352693.15,49.17,0.51,0.32,0,0.41
1697352693.25,49.17,0.51,0.32,0,0.41
1697352693.35,49.17,0.51,0.32,0,0.41
1697352693.45,49.17,0.45,0.32,0,0.41
1697352693.55,49.17,0.45,0.32,0,0.41
1697352693.65,49.17,0.45,0.32,0,0.41
1697352693.75,49.17,0.45,0.32,0,0.41
1697352693.85,49.17,0.45,0.32,0,0.41
1697352693.95,49.17,0.45,0.32,0,0.41
1697352694.05,49.17,0.45,0.32,0,0.41
1697352694.15,49.17,0.45,0.32,0,0.41
1697352694.25,49.17,0.45,0.32,0,0.41
1697352694.35,49.17,0.45,0.32,0,0.41
1697352694.45,49.17,0.51,0.32,0,0.41
1697352694.55,49.17,0.51,0.32,0,0.41
1697352694.65,49.17,0.51,0.32,0,0.41
1697352694.75,49.17,0.51,0.32,0,0.41
1697352694.85,49.17,0.51,0.32,0,0.41
1697352694.95,49.17,0.51,0.32,0,0.41
1697352695.05,49.17,0.51,0.32,0,0.41
1697352695.15,49.17,0.51,0.32,0,0.41
1697352695.25,49.17,0.51,0.32,0,0.41
1697352695.35,49.17,0.51,0.32,0,0.41
1697352695.45,48.2,0.49,0.32,0,0.41
1697352695.55,48.2,0.49,0.32,0,0.41
1697352695.65,48.2,0.49,0.32,0,0.41
1697352695.75,48.2,0.49,0.32,0,0.41
1697352695.85,48.2,0.49,0.32,0,0.41
1697352695.95,48.2,0.49,0.32,0,0.41
1697352696.05,48.2,0.49,0.32,0,0.41
1697352696.15,48.2,0.49,0.32,0,0.41
1697352696.25,48.2,0.49,0.32,0,0.41
1697352696.35,48.2,0.49,0.32,0,0.41
1697352696.45,48.69,0.51,0.32,0,0.41
1697352696.55,48.69,0.51,0.32,0,0.41
1697352696.65,48.69,0.51,0.32,0,0.41
1697352696.75,48.69,0.51,0.32,0,0.41
1697352696.85,48.69,0.51,0.32,0,0.41
1697352696.95,48.69,0.51,0.32,0,0.41
1697352697.05,48.69,0.51,0.32,0,0.41
1697352697.15,48.69,0.51,0.32,0,0.41
1697352697.25,48.69,0.51,0.32,0,0.41
1697352697.35,48.69,0.51,0.32,0,0.41
1697352697.45,48.69,0.51,0.32,0,0.41
1697352697.55,49.66,0.5,0.32,0,0.41
1697352697.65,49.66,0.5,0.32,0,0.41
1697352697.75,49.66,0.5,0.32,0,0.41
1697352697.85,49.66,0.5,0.32,0,0.41
1697352697.95,49.66,0.5,0.32,0,0.41
1697352698.05,49.66,0.5,0.32,0,0.41
1697352698.15,49.66,0.5,0.32,0,0.41
1697352698.25,49.66,0.5,0.32,0,0.41
1697352698.35,49.66,0.5,0.32,0,0.41
1697352698.45,49.66,0.5,0.32,0,0.41
1697352698.55,49.66,0.53,0.32,0,0.41
1697352698.65,49.66,0.53,0.32,0,0.41
1697352698.75,49.66,0.53,0.32,0,0.41
1697352698.85,49.66,0.53,0.32,0,0.41
1697352698.95,49.66,0.53,0.32,0,0.41
1697352699.05,49.66,0.53,0.32,0,0.41
1697352699.15,49.66,0.53,0.32,0,0.41
1697352699.25,49.66,0.53,0.32,0,0.41
1697352699.35,49.66,0.53,0.32,0,0.41
1697352699.45,49.66,0.52,0.32,0,0.41
1697352699.55,49.66,0.52,0.32,0,0.41
1697352699.65,49.66,0.52,0.32,0,0.41
1697352699.75,49.66,0.52,0.32,0,0.41
1697352699.85,49.66,0.52,0.32,0,0.41
1697352699.95,49.66,0.52,0.32,0,0.41
1697352700.05,49.66,0.52,0.32,0,0.41
1697352700.15,49.66,0.52,0.32,0,0.41
1697352700.25,49.66,0.52,0.32,0,0.41
1697352700.35,49.66,0.52,0.32,0,0.41
1697352700.45,49.17,0.49,0.32,0,0.41
1697352700.55,49.17,0.49,0.32,0,0.41
1697352700.65,49.17,0.49,0.32,0,0.41
1697352700.75,49.17,0.49,0.32,0,0.41
1697352700.85,49.17,0.49,0.32,0,0.41
1697352700.95,49.17,0.49,0.32,0,0.41
1697352701.05,49.17,0.49,0.32,0,0.41
1697352701.15,49.17,0.49,0.32,0,0.41
1697352701.25,49.17,0.49,0.32,0,0.41
1697352701.35,49.17,0.49,0.32,0,0.41
1697352701.45,48.69,0.52,0.32,0,0.41
1697352701.55,48.69,0.52,0.32,0,0.41
1697352701.65,48.69,0.52,0.32,0,0.41
1697352701.75,48.69,0.52,0.32,0,0.41
1697352701.85,48.69,0.52,0.32,0,0.41
1697352701.95,48.69,0.52,0.32,0,0.41
1697352702.05,48.69,0.52,0.32,0,0.41
1697352702.15,48.69,0.52,0.32,0,0.41
1697352702.25,48.69,0.52,0.32,0,0.41
1697352702.35,48.69,0.52,0.32,0,0.41
1697352702.45,49.17,0.5,0.32,0,0.41
1697352702.55,49.17,0.5,0.32,0,0.41
1697352702.65,49.17,0.5,0.32,0,0.41
1697352702.75,49.17,0.5,0.32,0,0.41
1697352702.85,49.17,0.5,0.32,0,0.41
1697352702.95,49.17,0.5,0.32,0,0.41
1697352703.05,49.17,0.5,0.32,0,0.41
1697352703.15,49.17,0.5,0.32,0,0.41
1697352703.25,49.17,0.5,0.32,0,0.41
1697352703.35,49.17,0.5,0.32,0,0.41
1697352703.45,49.17,0.52,0.32,0,0.41
1697352703.55,49.17,0.52,0.32,0,0.41
1697352703.65,49.17,0.52,0.32,0,0.41
1697352703.75,49.17,0.52,0.32,0,0.41
1697352703.85,49.17,0.52,0.32,0,0.41
1697352703.95,49.17,0.52,0.32,0,0.41
1697352704.05,49.17,0.52,0.32,0,0.41
1697352704.15,49.17,0.52,0.32,0,0.41
1697352704.25,49.17,0.52,0.32,0,0.41
1697352704.35,49.17,0.52,0.32,0,0.41
1697352704.45,49.17,0.52,0.32,0,0.41
1697352704.55,49.17,0.52,0.32,0,0.41
1697352704.65,49.17,0.52,0.32,0,0.41
1697352704.75,49.17,0.52,0.32,0,0.41
1697352704.85,49.17,0.52,0.32,0,0.41
1697352704.95,49.17,0.52,0.32,0,0.41
1697352705.05,49.17,0.52,0.32,0,0.41
1697352705.15,49.17,0.52,0.32,0,0.41
1697352705.25,49.17,0.52,0.32,0,0.41
1697352705.35,49.17,0.52,0.32,0,0.41
1697352705.45,49.17,0.52,0.32,0,0.41
