time,bse,apps1,apps2,brake_micro,accelerator_micro,steer_angle,front_break_pressure,rear_break_pressure,front_left_wheel_speed,front_right_wheel_speed,rear_left_wheel_speed,rear_right_wheel_speed,front_left_suspension_travel,front_right_suspension_travel,rear_left_suspension_travel,rear_right_suspension_travel,front_left_tire_temp_1,front_left_tire_temp_2,front_left_tire_temp_3,front_left_tire_temp_4,front_right_tire_temp_1,front_right_tire_temp_2,front_right_tire_temp_3,front_right_tire_temp_4,rear_left_tire_temp_1,rear_left_tire_temp_2,rear_left_tire_temp_3,rear_left_tire_temp_4,rear_right_tire_temp_1,rear_right_tire_temp_2,rear_right_tire_temp_3,rear_right_tire_temp_4
1697352764.75,0.07,0.4,0.4,0,1,100,0.3,0.3,0.1,211.6,492.9,207.4,47.4,44.6,43.7,41.9,36,31.8,33.8,40.8,30,30.2,33.4,33,30,30,30,30,30,30,30,30
1697352764.85,0.06,0.37,0.37,0,1,100,1.2,1.2,0.1,219.6,529.4,211.9,48,44.5,43.7,42,36,31.8,33.8,40.8,30,30.2,33.4,33,30,30,30,30,30,30,30,30
1697352764.95,0.06,0.33,0.32,0,1,99,0.6,0.6,0.1,221,278.3,216.1,47.8,44.9,43.6,42,36.4,32.4,34,40.6,30,30.2,34,33.4,30,30,30,30,30,30,30,30
1697352765.05,0.06,0.33,0.32,0,1,99,0.6,0.6,0.1,221,278.3,216.1,47.8,44.9,43.6,42,36.4,32.4,34,40.6,30,30.2,34,33.4,30,30,30,30,30,30,30,30
1697352765.15,0.06,0.33,0.32,0,1,99,0.6,0.6,0.1,221,2855.2,218.6,47.8,44.9,43.8,41.9,36.4,32.4,34,40.6,30,30.2,34,33.4,30,30,30,30,30,30,30,30
1697352765.25,0.06,0.26,0.26,0,1,98,0.6,0.6,0.1,228.8,782.4,221.5,46.6,44.6,43.7,41.9,36.4,31.6,34.4,40.6,30,30.4,34.2,33.8,30,30,30,30,30,30,30,30
1697352765.35,0.06,0.29,0.29,0,1,97,0.9,0.9,0.1,228.7,583.9,227.6,46.8,44.1,43.5,42.4,36.4,31.6,34.4,40.6,30,30.4,34.2,33.8,30,30,30,30,30,30,30,30
1697352765.45,0.06,0.3,0.3,0,1,97,0.6,0.6,0.1,233.9,537.4,229.6,48.5,44.6,43.7,41.7,36.4,31.6,34.4,40.6,30,30.4,34.2,33.8,30,30,30,30,30,30,30,30
1697352765.55,0.06,0.32,0.32,0,1,97,0.9,0.9,0.1,237.3,537.4,229.6,47.8,44.1,43.7,41.7,37,31.2,33.8,40.6,30,30.4,34.2,33.8,30,30,30,30,30,30,30,30
1697352765.65,0.06,0.32,0.32,0,1,97,0.9,0.9,0.1,237.3,551.8,236.8,47.8,44.1,43.8,41.6,37,31.2,33.8,40.6,30,30.4,34.2,33.8,30,30,30,30,30,30,30,30
1697352765.75,0.06,0.35,0.35,0,1,97,0.3,0.3,0.1,246.4,-1169.6,243.6,48,45.1,43.7,41.5,36.4,30.4,33.2,40.4,30,30.4,34.2,33.6,30,30,30,30,30,30,30,30
1697352765.85,0.07,0.35,0.35,0,1,97,1.8,1.8,0.1,250.7,624.8,248.5,48.6,44.2,43.9,41.6,36.4,30.4,33.2,40.4,30,30.4,34.2,33.6,30,30,30,30,30,30,30,30
1697352765.95,0.06,0.35,0.35,0,1,97,0.9,0.9,0.1,699.2,624.8,248.5,48.5,44.8,43.9,41.6,36,30,32.4,40,30,30.2,34,33.6,30,30,30,30,30,30,30,30
1697352766.05,0.06,0.35,0.35,0,1,97,0.9,0.9,0.1,258.4,632.9,252.2,49.4,43.8,43.7,41.3,36,30,32.4,40,30,30.2,34,33.6,30,30,30,30,30,30,30,30
1697352766.15,0.06,0.35,0.35,0,1,97,0.9,0.9,0.1,258.4,632.9,252.2,49.4,43.8,43.7,41.3,36,30,32.4,40,30,30.2,34,33.6,30,30,30,30,30,30,30,30
