time,cpu_temp,cpu_usage,mem_usage,swap_usage,disk_usage
1697350698.35,0.00,0.00,0.00,0.00,0.00
1697350698.45,0.00,0.00,0.00,0.00,0.00
1697350698.55,0.00,0.00,0.00,0.00,0.00
1697350698.65,0.00,0.00,0.00,0.00,0.00
1697350698.75,0.00,0.00,0.00,0.00,0.00
1697350698.85,51.61,0.78,0.28,0.00,0.40
1697350698.95,51.61,0.78,0.28,0.00,0.40
1697350699.05,51.61,0.78,0.28,0.00,0.40
1697350699.15,51.61,0.78,0.28,0.00,0.40
1697350699.25,51.61,0.78,0.28,0.00,0.40
1697350699.35,51.61,0.78,0.28,0.00,0.40
1697350699.45,51.61,0.78,0.28,0.00,0.40
1697350699.55,51.61,0.78,0.28,0.00,0.40
1697350699.65,51.61,0.78,0.28,0.00,0.40
1697350699.75,51.61,0.78,0.28,0.00,0.40
1697350699.85,52.10,0.65,0.29,0.00,0.40
1697350699.95,52.10,0.65,0.29,0.00,0.40
1697350700.05,52.10,0.65,0.29,0.00,0.40
1697350700.15,52.10,0.65,0.29,0.00,0.40
1697350700.25,52.10,0.65,0.29,0.00,0.40
1697350700.35,52.10,0.65,0.29,0.00,0.40
1697350700.45,52.10,0.65,0.29,0.00,0.40
1697350700.55,52.10,0.65,0.29,0.00,0.40
1697350700.65,52.10,0.65,0.29,0.00,0.40
1697350700.75,52.10,0.65,0.29,0.00,0.40
1697350700.85,51.12,0.62,0.30,0.00,0.40
1697350700.95,51.12,0.62,0.30,0.00,0.40
1697350701.05,51.12,0.62,0.30,0.00,0.40
1697350701.15,51.12,0.62,0.30,0.00,0.40
1697350701.25,51.12,0.62,0.30,0.00,0.40
1697350701.35,51.12,0.62,0.30,0.00,0.40
1697350701.45,51.12,0.62,0.30,0.00,0.40
1697350701.55,51.12,0.62,0.30,0.00,0.40
1697350701.65,51.12,0.62,0.30,0.00,0.40
1697350701.75,51.12,0.62,0.30,0.00,0.40
1697350701.85,51.12,0.71,0.30,0.00,0.40
1697350701.95,51.12,0.71,0.30,0.00,0.40
1697350702.05,51.12,0.71,0.30,0.00,0.40
1697350702.15,51.12,0.71,0.30,0.00,0.40
1697350702.25,51.12,0.71,0.30,0.00,0.40
1697350702.35,51.12,0.71,0.30,0.00,0.40
1697350702.45,51.12,0.71,0.30,0.00,0.40
1697350702.55,51.12,0.71,0.30,0.00,0.40
1697350702.65,51.12,0.71,0.30,0.00,0.40
1697350702.75,51.12,0.71,0.30,0.00,0.40
1697350702.85,51.12,0.55,0.31,0.00,0.40
1697350702.95,51.12,0.55,0.31,0.00,0.40
1697350703.05,51.12,0.55,0.31,0.00,0.40
1697350703.15,51.12,0.55,0.31,0.00,0.40
1697350703.25,51.12,0.55,0.31,0.00,0.40
1697350703.35,51.12,0.55,0.31,0.00,0.40
1697350703.45,51.12,0.55,0.31,0.00,0.40
1697350703.55,51.12,0.55,0.31,0.00,0.40
1697350703.65,51.12,0.55,0.31,0.00,0.40
1697350703.75,51.12,0.55,0.31,0.00,0.40
1697350703.85,51.12,0.55,0.31,0.00,0.40
1697350703.95,52.10,0.71,0.31,0.00,0.40
1697350704.05,52.10,0.71,0.31,0.00,0.40
1697350704.15,52.10,0.71,0.31,0.00,0.40
1697350704.25,52.10,0.71,0.31,0.00,0.40
1697350704.35,52.10,0.71,0.31,0.00,0.40
1697350704.45,52.10,0.71,0.31,0.00,0.40
1697350704.55,52.10,0.71,0.31,0.00,0.40
1697350704.65,52.10,0.71,0.31,0.00,0.40
1697350704.75,52.10,0.71,0.31,0.00,0.40
1697350704.85,51.61,0.89,0.33,0.00,0.41
1697350704.95,51.61,0.89,0.33,0.00,0.41
1697350705.05,51.61,0.89,0.33,0.00,0.41
1697350705.15,51.61,0.89,0.33,0.00,0.41
1697350705.25,51.61,0.89,0.33,0.00,0.41
1697350705.35,51.61,0.88,0.36,0.00,0.41
1697350705.45,51.61,0.88,0.36,0.00,0.41
1697350705.55,51.61,0.88,0.36,0.00,0.41
1697350705.65,51.61,0.88,0.36,0.00,0.41
1697350705.75,51.61,0.88,0.36,0.00,0.41
1697350705.85,51.61,0.88,0.36,0.00,0.41
1697350705.95,51.61,0.88,0.36,0.00,0.41
1697350706.05,51.61,0.88,0.36,0.00,0.41
1697350706.15,51.61,0.88,0.36,0.00,0.41
1697350706.25,51.61,0.88,0.36,0.00,0.41
1697350706.35,53.07,0.92,0.36,0.00,0.41
1697350706.45,53.07,0.92,0.36,0.00,0.41
1697350706.55,53.07,0.92,0.36,0.00,0.41
1697350706.65,53.07,0.92,0.36,0.00,0.41
1697350706.75,53.07,0.92,0.36,0.00,0.41
1697350706.85,53.07,0.92,0.36,0.00,0.41
1697350706.95,53.07,0.92,0.36,0.00,0.41
1697350707.05,53.07,0.92,0.36,0.00,0.41
1697350707.15,53.07,0.92,0.36,0.00,0.41
1697350707.25,53.07,0.92,0.36,0.00,0.41
1697350707.35,51.61,0.61,0.34,0.00,0.41
1697350707.45,51.61,0.61,0.34,0.00,0.41
1697350707.55,51.61,0.61,0.34,0.00,0.41
1697350707.65,51.61,0.61,0.34,0.00,0.41
1697350707.75,51.61,0.61,0.34,0.00,0.41
1697350707.85,51.61,0.61,0.34,0.00,0.41
1697350707.95,51.61,0.61,0.34,0.00,0.41
1697350708.05,51.61,0.61,0.34,0.00,0.41
1697350708.15,51.61,0.61,0.34,0.00,0.41
1697350708.25,51.61,0.61,0.34,0.00,0.41
1697350708.35,52.10,0.50,0.34,0.00,0.41
1697350708.45,52.10,0.50,0.34,0.00,0.41
1697350708.55,52.10,0.50,0.34,0.00,0.41
1697350708.65,52.10,0.50,0.34,0.00,0.41
1697350708.75,52.10,0.50,0.34,0.00,0.41
1697350708.85,52.10,0.50,0.34,0.00,0.41
1697350708.95,52.10,0.50,0.34,0.00,0.41
1697350709.05,52.10,0.50,0.34,0.00,0.41
1697350709.15,52.10,0.50,0.34,0.00,0.41
1697350709.25,52.10,0.50,0.34,0.00,0.41
1697350709.35,52.10,0.50,0.34,0.00,0.41
1697350709.45,52.58,0.54,0.34,0.00,0.41
1697350709.55,52.58,0.54,0.34,0.00,0.41
1697350709.65,52.58,0.54,0.34,0.00,0.41
1697350709.75,52.58,0.54,0.34,0.00,0.41
1697350709.85,52.58,0.54,0.34,0.00,0.41
1697350709.95,52.58,0.54,0.34,0.00,0.41
1697350710.05,52.58,0.54,0.34,0.00,0.41
1697350710.15,52.58,0.54,0.34,0.00,0.41
1697350710.25,52.58,0.54,0.34,0.00,0.41
1697350710.35,52.58,0.51,0.34,0.00,0.41
1697350710.45,52.58,0.51,0.34,0.00,0.41
1697350710.55,52.58,0.51,0.34,0.00,0.41
1697350710.65,52.58,0.51,0.34,0.00,0.41
1697350710.75,52.58,0.51,0.34,0.00,0.41
